id,client_id,domain,city,region,browser,device_category,date,pageviews,campaign,keyword,medium,source,avg_session_duration,bounce_rate,sessions,goal_completion_location,goal_completions,goal_conversion_rate,goal_value,conversion,source_conv,ad_cost,sale,model_ga_name,model_ga_id
29,GA1.2.1816828067.1581339408,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,desktop,2020-02-10,24,(not set),(not provided),organic,google,0.01373842592592589,0.0,1,(entrance),1,1.0,27615,1,google,0,0,,
32,GA1.2.1706493163.1581168409,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,mobile,2020-02-08,2,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0018750000000000713,0.0,1,/,0,0.0,0,0,BMW-keyauto-krd.ru,82,0,,
33,GA1.2.1706493163.1581168409,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,mobile,2020-02-08,2,(not set),(not set),referral,yandex.ru,0.0,0.0,1,/,0,0.0,0,0,yandex.ru,183,0,,
44,GA1.2.1292766094.1581168678,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-08,2,(not set),(not provided),organic,google,0.0,0.0,1,/,0,0.0,0,0,google,0,0,,
39,GA1.2.1428049406.1580926871,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-05,8,(not set),(not set),organic,yandex,0.0015624999999999112,0.0,1,/,0,0.0,0,0,YANDEX,0,0,,
42,GA1.2.1314981900.1580852355,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-05,2,(not set),(not provided),organic,google,0.0,0.0,1,/,0,0.0,0,0,google,0,0,,
60,GA1.2.1007261385.1580914901,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-05,14,(not set),(not provided),organic,google,0.0035879629629629317,0.0,2,/models/c200/options/,1,0.5,31189,1,google,0,0,c200,8.0
61,GA1.2.1007261385.1580914901,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-05,14,(not set),(not provided),organic,google,0.0035879629629629317,0.0,2,/,0,0.0,0,0,google,0,0,,
17,GA1.2.549721398.1510366355,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-03,2,Mersedes_Krasnodar_Poisk,,cpc,google,0.0002662037037037823,0.0,1,/special/purchase/?placement=,1,1.0,10359,1,google,1678,0,,
20,GA1.2.30442711.1580751557,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,desktop,2020-02-03,8,(not set),(not provided),organic,google,0.0009722222222221522,0.0,1,/,1,1.0,43398,1,google,0,0,,
22,GA1.2.2105111212.1580739615,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-03,2,(not set),(not provided),organic,google,0.0,0.0,1,/models/e400/options/,1,1.0,44164,1,google,0,0,e400,4.0
16,GA1.2.665761797.1580625458,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-02,4,(not set),(not provided),organic,google,0.0005671296296296813,0.0,1,/,1,1.0,9487,1,google,0,0,,
15,GA1.2.692564660.1580536354,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,YaBrowser,desktop,2020-02-01,10,(not set),(not set),referral,yandex.ru,0.0039120370370371305,0.0,1,/,0,0.0,0,0,yandex.ru,116,0,,
23,GA1.2.2076101325.1580276840,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,mobile,2020-01-29,2,(not set),(not set),referral,BMW-keyauto-krd.ru,1.1574074074038876e-05,0.0,1,/,0,0.0,0,0,BMW-keyauto-krd.ru,54,0,,
24,GA1.2.2076101325.1580276840,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,mobile,2020-01-29,16,(not set),(not set),referral,yandex.ru,0.002858796296296262,0.0,1,/,0,0.0,0,0,yandex.ru,53,0,,
56,GA1.2.1038728109.1580320239,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,desktop,2020-01-29,4,(not set),(not set),organic,yandex,0.00017361111111102723,0.0,1,/,0,0.0,0,0,YANDEX,0,0,,
46,GA1.2.1271606622.1579861858,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,desktop,2020-01-24,4,(not set),(not set),referral,yandex.ru,0.0006018518518517979,0.0,1,/,0,0.0,0,0,yandex.ru,142,0,,
45,GA1.2.1286081618.1579767611,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,desktop,2020-01-23,2,(not set),(not set),organic,yandex,0.0,0.0,1,/offers/buy/lizing-dlya-fizicheskikh-lits/,0,0.0,0,0,YANDEX,0,0,,
11,GA1.2.958376823.1579527705,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-01-20,10,(not set),(not provided),organic,google,0.0025115740740739856,0.0,1,/,1,1.0,20153,1,google,0,0,,
18,GA1.2.372315202.1549443573,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-01-20,4,(not set),(not provided),organic,google,0.0004398148148148095,0.0,1,/models/c200/options/,1,1.0,25269,1,google,0,0,c200,8.0
55,GA1.2.1169448376.1577861283,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-19,2,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0,0.0,1,/,0,0.0,0,0,BMW-keyauto-krd.ru,181,0,,
54,GA1.2.1169448376.1577861283,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-19,4,(not set),(not set),organic,yandex,0.00042824074074077073,0.0,1,/,0,0.0,0,0,YANDEX,0,1,,
58,GA1.2.1018561850.1552974394,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Android Webview,mobile,2020-01-18,4,e220,(not set),cpm,IG,0.0002199074074074048,0.0,1,/special/purchase/e220/item66188051.php,1,1.0,29962,1,ig,1791,0,e220,7.0
21,GA1.2.2125278522.1579002152,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-01-14,4,(not set),(not provided),organic,google,0.00015046296296294948,0.0,1,/,0,0.0,0,0,google,0,0,,
47,GA1.2.1253509484.1578932185,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Opera,desktop,2020-01-13,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0,0.0,2,/new/BMW/x1,0,0.0,0,0,BMW-keyauto-krd.ru,153,0,x1,15.0
48,GA1.2.1253509484.1578932185,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Opera,desktop,2020-01-13,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0,0.0,2,/,0,0.0,0,0,BMW-keyauto-krd.ru,84,0,,
49,GA1.2.1253509484.1578932185,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Opera,desktop,2020-01-13,2,(not set),(not set),referral,yandex.ru,0.0,0.0,1,/,1,1.0,14463,1,yandex.ru,1565,0,,
14,GA1.2.753192279.1577861182,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-12,4,(not set),(not set),organic,yandex,0.0005671296296296813,0.0,1,/,0,0.0,0,0,YANDEX,0,0,,
25,GA1.2.1933002021.1578215583,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-01-12,2,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0,0.0,1,/,0,0.0,0,0,BMW-keyauto-krd.ru,172,0,,
26,GA1.2.1933002021.1578215583,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-01-12,2,(not set),(not provided),organic,google,0.0,0.0,1,/,0,0.0,0,0,google,0,0,,
53,GA1.2.1169448376.1577861283,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-12,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0002083333333333659,0.0,1,/,1,1.0,43155,1,BMW-keyauto-krd.ru,867,0,,
52,GA1.2.1169448376.1577861283,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-12,4,(not set),(not set),organic,yandex,0.0002893518518518601,0.0,1,/,0,0.0,0,0,YANDEX,0,0,,
57,GA1.2.1020409757.1577211365,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,mobile,2020-01-10,23,(not set),(not set),referral,yandex.ru,0.004403935185185226,0.0,2,/,0,0.0,0,0,yandex.ru,163,0,,
13,GA1.2.880673983.1578474516,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,desktop,2020-01-09,6,(not set),(not provided),organic,google,0.0003356481481482376,0.0,1,/,0,0.0,0,0,google,0,0,,
28,GA1.2.1842772195.1578596499,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-01-09,2,(not set),(not set),(none),(direct),0.0,0.0,1,/buy/cars/,1,1.0,23852,1,(direct),0,0,,
12,GA1.2.880673983.1578474516,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,desktop,2020-01-08,10,(not set),(not provided),organic,google,0.000497685185185226,0.0,1,/,0,0.0,0,0,google,0,0,,
38,GA1.2.1532871265.1578403677,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-01-08,2,(not set),(not set),referral,yandex.ru,0.0,0.0,1,/offers/buy/halva/,1,1.0,43125,1,yandex.ru,1504,0,,
27,GA1.2.1870249653.1578400452,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-01-07,2,(not set),(not set),referral,yandex.ru,0.0,0.0,1,/models/c180/options/,0,0.0,0,0,yandex.ru,107,0,c180,9.0
37,GA1.2.1532871265.1578403677,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-01-07,12,(not set),(not set),referral,yandex.ru,0.0016319444444443665,0.0,1,/,1,1.0,35337,1,yandex.ru,1815,0,,
59,GA1.2.1007566711.1578389029,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,YaBrowser,mobile,2020-01-07,8,(not set),(not set),referral,yandex.ru,0.0040046296296296635,0.0,1,/models/e400/options/,0,0.0,0,0,yandex.ru,76,0,e400,4.0
51,GA1.2.1169448376.1577861283,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-01,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0022222222222221255,0.0,1,(entrance),1,1.0,10693,1,BMW-keyauto-krd.ru,947,0,,
50,GA1.2.1169448376.1577861283,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Samsung Internet,tablet,2020-01-01,4,(not set),(not set),organic,yandex,0.0007291666666666696,0.0,1,/,1,1.0,9201,1,YANDEX,0,0,,
63,GA1.2.172612889.1581947825,BMW-keyauto-krd.ru,Zhytomyr,Zhytomyr Oblast,Chrome,desktop,2020-02-17,2,(not set),(not provided),organic,google,0.0,0.0,1,/news/BMW-motor-predstavlyaet-elektricheskiy-kontsept-kar-45-na-mezhdunarodnom-avtosalone-vo-frankfurt/,0,0.0,0,0,google,0,0,,
62,GA1.2.744478207.1580078812,BMW-keyauto-krd.ru,Zhytomyr,Zhytomyr Oblast,Chrome,mobile,2020-01-27,2,(not set),(not provided),organic,google,0.0,0.0,1,/news/tri-modeli-BMW-n-uspeshno-zavershili-gonku-24-chasa-nyurburgringa-2019/,0,0.0,0,0,google,0,0,,
71,GA1.2.2108392846.1581682215,cars.BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,YaBrowser,desktop,2020-02-14,2,(not set),(not set),referral,BMW-keyauto-krd.ru,0.00010416666666657191,0.0,1,/,0,0.0,0,0,BMW-keyauto-krd.ru,121,0,,
72,GA1.2.2108392846.1581682215,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,YaBrowser,desktop,2020-02-14,2,(not set),(not set),referral,avtotochki.ru,0.0,0.0,1,(entrance),1,1.0,39390,1,avtotochki.ru,545,0,,
69,GA1.2.28624204.1581149997,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,tablet,2020-02-08,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
64,GA1.2.894152205.1580993280,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-02-06,4,(not set),(not set),(none),(direct),0.011053240740740655,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
84,GA1.2.1460486109.1580801464,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Firefox,desktop,2020-02-04,2,(not set),(not set),(none),(direct),1.1574074074038876e-05,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
85,GA1.2.1440480846.1580476941,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-31,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,13552,1,(direct),0,0,,
83,GA1.2.1588772039.1580301298,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Edge,desktop,2020-01-29,4,(not set),(not set),(none),(direct),0.0005208333333333037,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
86,GA1.2.1310262158.1580230104,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-28,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
70,GA1.2.246432877.1579886873,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-24,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
76,GA1.2.1964474922.1579846012,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-24,4,(not set),(not set),(none),(direct),0.0002199074074074048,0.0,1,(entrance),1,1.0,32599,1,(direct),0,0,,
77,GA1.2.1952782429.1579771817,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-23,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,9205,1,(direct),0,1,,
67,GA1.2.865715935.1579333267,cars.BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,YaBrowser,desktop,2020-01-19,4,(not set),(not set),referral,BMW-keyauto-msk.ru,0.011168981481481488,0.0,1,/new/BMW/x1,0,0.0,0,0,BMW-keyauto-msk.ru,161,0,x1,15.0
65,GA1.2.865715935.1579333267,cars.BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,YaBrowser,desktop,2020-01-18,2,(not set),(not set),referral,BMW-keyauto-msk.ru,0.0,0.0,1,/,0,0.0,0,0,BMW-keyauto-msk.ru,193,0,,
66,GA1.2.865715935.1579333267,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,YaBrowser,desktop,2020-01-18,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
82,GA1.2.173293662.1579367819,cars.BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-18,2,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0,0.0,1,/,1,1.0,42160,1,BMW-keyauto-krd.ru,522,1,,
81,GA1.2.173293662.1579367819,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-18,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0006134259259258368,0.0,1,/?keyauto_from=1,0,0.0,0,0,BMW-keyauto-krd.ru,168,0,,
88,GA1.2.1232581467.1579367645,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,YaBrowser,desktop,2020-01-18,4,(not set),(not set),(none),(direct),0.0005787037037037202,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
78,GA1.2.1882710947.1579257545,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-17,18,(not set),(not set),(none),(direct),0.004375000000000018,0.0,1,/?keyauto_from=1,1,1.0,44043,1,(direct),0,0,,
68,GA1.2.730155452.1579099537,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Internet Explorer,desktop,2020-01-15,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,11085,1,(direct),0,0,,
79,GA1.2.1849190337.1578999614,cars.Mersedes-krasnodar.ru,Zhukovskiy,Moscow Oblast,Android Webview,mobile,2020-01-14,6,(not set),(not set),organic,yandex,0.0006481481481481755,0.0,1,(entrance),1,1.0,9957,1,YANDEX,0,0,,
89,GA1.2.1203396040.1577627772,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,mobile,2020-01-10,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,44730,1,(direct),0,0,,
80,GA1.2.1775135381.1572796348,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Opera,desktop,2020-01-07,4,(not set),(not set),(none),(direct),5787037.03713046,0.0,2,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
87,GA1.2.1304137270.1578264296,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Internet Explorer,desktop,2020-01-06,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,36207,1,(direct),0,0,,
90,GA1.2.120264286.1578131779,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Chrome,desktop,2020-01-04,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
75,GA1.2.2018910302.1577997798,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Internet Explorer,desktop,2020-01-03,4,(not set),(not set),referral,zoon.ru,0.00012731481481487172,0.0,1,/?keyauto_from=1,1,1.0,16720,1,zoon.ru,1155,0,,
73,GA1.2.2018910302.1577997798,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Internet Explorer,desktop,2020-01-02,4,(not set),(not set),(none),(direct),1.1574074074038876e-05,0.0,1,/?keyauto_from=1,0,0.0,0,0,(direct),0,0,,
74,GA1.2.2018910302.1577997798,BMW-keyauto-krd.ru,Zhukovskiy,Moscow Oblast,Internet Explorer,desktop,2020-01-02,4,(not set),(not set),referral,msk.autoneva.ru,0.0,0.0,1,/?keyauto_from=1,0,0.0,0,0,msk.autoneva.ru,125,0,,
91,GA1.2.1707985025.1579800479,BMW-keyauto-krd.ru,Zhengzhou,Henan,UC Browser,mobile,2020-01-23,2,(not set),(not set),referral,baidu.com,0.0,0.0,1,/,1,1.0,34948,1,baidu.com,1767,0,,
92,GA1.2.29616218.1579769299,Mersedes-krasnodar.ru,Zheleznogorsk,Kursk Oblast,Chrome,desktop,2020-01-23,4,(not set),(not set),referral,Mersedes.ru,5.7870370370416424e-05,0.0,1,/,0,0.0,0,0,Mersedes.ru,102,0,,
93,GA1.2.1769684862.1578503953,BMW-keyauto-krd.ru,Zheleznogorsk,Kursk Oblast,YaBrowser,mobile,2020-01-08,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,26089,1,(direct),0,0,,
95,GA1.2.959486017.1580555617,BMW-keyauto-krd.ru,Zheleznodorozhny,Moscow Oblast,YaBrowser,desktop,2020-02-08,4,(not set),(not provided),organic,google,0.00037037037037035425,0.0,1,/,0,0.0,0,0,google,0,0,,
94,GA1.2.959486017.1580555617,BMW-keyauto-krd.ru,Zheleznodorozhny,Moscow Oblast,YaBrowser,desktop,2020-02-01,2,(not set),(not provided),organic,google,0.0,0.0,1,(entrance),0,0.0,0,0,google,0,0,,
97,GA1.2.2094940656.1580237773,BMW-keyauto-krd.ru,Zheleznodorozhny,Moscow Oblast,Chrome,mobile,2020-01-28,2,(not set),(not provided),organic,google,0.0,0.0,1,/,0,0.0,0,0,google,0,0,,
96,GA1.2.627478469.1578464233,BMW-keyauto-krd.ru,Zheleznodorozhny,Moscow Oblast,YaBrowser,desktop,2020-01-08,4,(not set),(not set),(none),(direct),0.0002199074074074048,0.0,1,/?keyauto_from=1,1,1.0,11459,1,(direct),0,0,,
98,GA1.2.1407907657.1578224643,BMW-keyauto-krd.ru,Zheleznodorozhny,Moscow Oblast,Chrome,desktop,2020-01-05,2,(not set),(not set),(none),(direct),0.0,0.0,1,/?keyauto_from=1,1,1.0,12518,1,(direct),0,0,,
99,GA1.2.878543682.1579350332,Mersedes-krasnodar.ru,Zaporizhzhia,Zaporizhia Oblast,Safari,desktop,2020-01-18,4,(not set),(not provided),organic,google,0.001099537037037024,0.0,1,/,0,0.0,0,0,google,0,0,,
101,GA1.2.343495629.1578167900,Mersedes-krasnodar.ru,Zaporizhzhia,Zaporizhia Oblast,Safari,desktop,2020-01-05,18,(not set),(not provided),organic,google,0.0012384259259259345,0.0,1,/,0,0.0,0,0,google,0,0,,
100,GA1.2.343495629.1578167900,Mersedes-krasnodar.ru,Zaporizhzhia,Zaporizhia Oblast,Safari,desktop,2020-01-04,16,(not set),(not provided),organic,google,0.0017592592592592382,0.0,1,/,0,0.0,0,0,google,0,0,,
102,GA1.2.2064636157.1580841321,BMW-keyauto-krd.ru,Zamosc,Lublin Voivodeship,Firefox,desktop,2020-02-04,4,(not set),(not set),(none),(direct),0.001076388888888946,0.0,1,/?keyauto_from=1,1,1.0,40965,1,(direct),0,0,,
103,GA1.2.1565699069.1552891598,Mersedes-krasnodar.ru,Zagreb,City of Zagreb,Opera,mobile,2020-01-04,2,(not set),(not set),referral,yandex.ru,0.0,0.0,1,/,1,1.0,20154,1,yandex.ru,1059,0,,
